id,car_model,symptom,cause,label,fix
1,Hyundai Venue,AC not cooling,wheel bearing issue,wheel_bearing_issue,replace spark plugs
2,Renault Kwid,engine misfiring,bad spark plugs,bad_spark_plugs,replace belt
3,Renault Triber,uneven tire wear,low engine oil,low_engine_oil,change brake pads
4,Maruti Suzuki Baleno,headlights dimming,worn brake pads,worn_brake_pads,replace fuel pump
5,Honda Amaze,vibration while driving,coolant leakage,coolant_leakage,replace oxygen sensor
6,Kia Seltos,engine misfiring,low coolant,low_coolant,replace thermostat
7,Kia Sonet,car won't accelerate properly,starter motor issue,starter_motor_issue,replace oxygen sensor
8,Tata Harrier,uneven tire wear,worn brake pads,worn_brake_pads,wheel alignment
9,Renault Triber,strange engine noise,clogged air filter,clogged_air_filter,clean air filter
10,Hyundai Venue,car won't accelerate properly,serpentine belt worn,serpentine_belt_worn,replace fuel pump
11,Tata Nexon,uneven tire wear,low engine oil,low_engine_oil,wheel alignment
12,Tata Safari,car stalling at idle,faulty oxygen sensor,faulty_oxygen_sensor,repair starter motor
13,Skoda Kushaq,gear shifting problem,wheel bearing issue,wheel_bearing_issue,clean fuel injector
14,Renault Kwid,brakes squeaking,serpentine belt worn,serpentine_belt_worn,replace fuel pump
15,Honda City,oil leakage,dirty fuel injector,dirty_fuel_injector,repair transmission
16,Maruti Suzuki Swift,poor mileage,wheel misalignment,wheel_misalignment,wheel alignment
17,Renault Triber,headlights dimming,alternator failure,alternator_failure,change brake pads
18,Skoda Kushaq,battery draining quickly,wheel bearing issue,wheel_bearing_issue,replace timing belt
19,Tata Punch,vibration while driving,bad spark plugs,bad_spark_plugs,refill coolant
20,Toyota Innova,check engine light on,low coolant,low_coolant,clean throttle body
21,Hyundai Creta,headlights dimming,faulty thermostat,faulty_thermostat,refill coolant
22,Volkswagen Virtus,smoke from exhaust,dirty fuel injector,dirty_fuel_injector,replace wheel bearing
23,Mahindra Thar,engine overheating,faulty oxygen sensor,faulty_oxygen_sensor,clean fuel injector
24,Volkswagen Virtus,headlights dimming,wheel bearing issue,wheel_bearing_issue,clean fuel injector
25,Toyota Glanza,engine overheating,timing belt issue,timing_belt_issue,inflate tires
26,Maruti Suzuki Baleno,car won't start,coolant leakage,coolant_leakage,fix coolant leakage
27,Hyundai i20,car pulling to one side,fuel pump failure,fuel_pump_failure,replace alternator
28,Renault Triber,steering feels heavy,serpentine belt worn,serpentine_belt_worn,clean fuel injector
29,Tata Harrier,uneven tire wear,timing belt issue,timing_belt_issue,wheel alignment
30,Honda Jazz,car pulling to one side,wheel misalignment,wheel_misalignment,replace battery
31,Maruti Suzuki Swift,AC not cooling,dirty throttle body,dirty_throttle_body,replace wheel bearing
32,Tata Harrier,gear shifting problem,wheel misalignment,wheel_misalignment,inflate tires
33,Maruti Suzuki Swift,car won't start,coolant leakage,coolant_leakage,replace alternator
34,Volkswagen Virtus,brakes squeaking,low coolant,low_coolant,change brake pads
35,Skoda Kushaq,dashboard warning lights,serpentine belt worn,serpentine_belt_worn,refill coolant
36,Volkswagen Taigun,car won't start,dirty throttle body,dirty_throttle_body,replace spark plugs
37,Maruti Suzuki Dzire,steering feels heavy,dirty fuel injector,dirty_fuel_injector,replace timing belt
38,Tata Harrier,battery draining quickly,dead battery,dead_battery,clean fuel injector
39,Renault Triber,car won't accelerate properly,bad spark plugs,bad_spark_plugs,fix coolant leakage
40,Hyundai Creta,check engine light on,dead battery,dead_battery,repair transmission
41,Tata Harrier,engine overheating,low engine oil,low_engine_oil,repair transmission
42,Skoda Slavia,smoke from exhaust,timing belt issue,timing_belt_issue,replace spark plugs
43,Maruti Suzuki Swift,oil leakage,coolant leakage,coolant_leakage,replace thermostat
44,Renault Triber,car won't start,timing belt issue,timing_belt_issue,clean fuel injector
45,Toyota Innova,car won't start,fuel pump failure,fuel_pump_failure,change brake pads
46,Maruti Suzuki Alto,car won't accelerate properly,faulty thermostat,faulty_thermostat,clean throttle body
47,Renault Triber,headlights dimming,faulty oxygen sensor,faulty_oxygen_sensor,replace battery
48,Maruti Suzuki Swift,engine overheating,coolant leakage,coolant_leakage,fix coolant leakage
49,Maruti Suzuki Baleno,car stalling at idle,dirty throttle body,dirty_throttle_body,add engine oil
