id,car_model,symptom,possible_cause,suggested_fix,forum_post
1,Maruti Suzuki Baleno,headlights dimming,starter motor issue,replace wheel bearing,My Maruti Suzuki Baleno has an issue: headlights dimming. What could be wrong?
2,Honda Amaze,check engine light on,dirty fuel injector,inflate tires,My Honda Amaze has an issue: check engine light on. What could be wrong?
3,Maruti Suzuki Dzire,oil leakage,coolant leakage,fix coolant leakage,My Maruti Suzuki Dzire has an issue: oil leakage. What could be wrong?
4,Skoda Kushaq,gear shifting problem,serpentine belt worn,replace belt,My Skoda Kushaq has an issue: gear shifting problem. What could be wrong?
5,Maruti Suzuki Dzire,car pulling to one side,low coolant,replace battery,My Maruti Suzuki Dzire has an issue: car pulling to one side. What could be wrong?
6,Kia Sonet,uneven tire wear,faulty thermostat,clean fuel injector,My Kia Sonet has an issue: uneven tire wear. What could be wrong?
7,Hyundai i20,car stalling at idle,low engine oil,clean fuel injector,My Hyundai i20 has an issue: car stalling at idle. What could be wrong?
8,Hyundai Venue,check engine light on,transmission issue,fix coolant leakage,My Hyundai Venue has an issue: check engine light on. What could be wrong?
9,Tata Safari,car pulling to one side,dirty fuel injector,replace thermostat,My Tata Safari has an issue: car pulling to one side. What could be wrong?
10,Renault Kwid,dashboard warning lights,bad spark plugs,replace spark plugs,My Renault Kwid has an issue: dashboard warning lights. What could be wrong?
11,Hyundai Creta,headlights dimming,alternator failure,replace oxygen sensor,My Hyundai Creta has an issue: headlights dimming. What could be wrong?
12,Kia Seltos,car won't start,serpentine belt worn,replace wheel bearing,My Kia Seltos has an issue: car won't start. What could be wrong?
13,Maruti Suzuki Alto,engine overheating,low engine oil,wheel alignment,My Maruti Suzuki Alto has an issue: engine overheating. What could be wrong?
14,Renault Kwid,car pulling to one side,clogged air filter,replace oxygen sensor,My Renault Kwid has an issue: car pulling to one side. What could be wrong?
15,Hyundai Venue,uneven tire wear,low tire pressure,replace battery,My Hyundai Venue has an issue: uneven tire wear. What could be wrong?
16,Maruti Suzuki Dzire,uneven tire wear,transmission issue,replace battery,My Maruti Suzuki Dzire has an issue: uneven tire wear. What could be wrong?
17,Skoda Slavia,poor mileage,bad spark plugs,inflate tires,My Skoda Slavia has an issue: poor mileage. What could be wrong?
18,Kia Sonet,AC not cooling,timing belt issue,fix coolant leakage,My Kia Sonet has an issue: AC not cooling. What could be wrong?
19,Volkswagen Virtus,steering feels heavy,low tire pressure,inflate tires,My Volkswagen Virtus has an issue: steering feels heavy. What could be wrong?
20,Hyundai i20,smoke from exhaust,faulty oxygen sensor,replace belt,My Hyundai i20 has an issue: smoke from exhaust. What could be wrong?
21,Honda Jazz,uneven tire wear,wheel bearing issue,repair starter motor,My Honda Jazz has an issue: uneven tire wear. What could be wrong?
22,Tata Safari,AC not cooling,low tire pressure,clean throttle body,My Tata Safari has an issue: AC not cooling. What could be wrong?
23,Honda Jazz,battery draining quickly,timing belt issue,add engine oil,My Honda Jazz has an issue: battery draining quickly. What could be wrong?
